,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285
0.5,237.45839391500002,351.97659794000003,455.53007858,552.4432478900001,627.054262195,705.58908205,785.7808873,868.9017100350001,935.36716645,984.021194475,1042.79835399,1084.662452305,1193.11377037,1208.817032115,1267.388982045,1330.793921025,1359.8885668,1435.69984047,1476.157395595,1537.488974435,1560.65390253,1614.4102428,1669.8886299150001,1701.78525776,1766.179071815,1801.5895632850002,1827.4751437300001,1883.271021735,1930.36558401,1957.5117039,1986.333480235,2030.4793639850002,2079.12801295,2105.6090303150004,2138.02808396,2185.881222945,2229.4729467449997,2242.190173515,2290.500333425,2310.288767275,2361.679268915,2376.1449725850002,2420.6281127400002,2455.965673365,2490.77297239,2524.73991659,2561.096013695,2603.2510099849997,2635.579473765,2663.6990421200003,2695.5742488799997,2727.1883467000002,2768.752595145,2798.932482105,2842.699176975,2875.2206254149996
1,245.05586875,364.80111909,470.02833923000003,565.6643179800001,637.96199084,717.54755009,799.47691678,888.85189929,945.4523744600001,997.96226042,1061.36692388,1114.42077574,1207.46469111,1232.86176496,1296.43218307,1350.2075629600001,1384.37327037,1448.43966341,1491.22263898,1546.6211705599999,1587.04746088,1636.0855186299998,1678.43794192,1721.22257987,1774.6062986,1808.44684551,1846.7778305000002,1896.48977028,1941.2811152299998,1972.52969054,2000.6180203800002,2045.17361531,2094.94176737,2116.07982661,2150.26919393,2201.04937761,2241.8795239300002,2262.1127307,2298.75726799,2330.4339162200004,2369.6145886100003,2392.1498321199997,2431.55057184,2474.64253987,2500.49510586,2532.2652805899997,2570.21002019,2607.77403325,2644.33553897,2671.65113647,2706.15695135,2737.9055975399997,2772.98059432,2804.27578688,2846.4193142699996,2882.41058645
1.5,259.46915554500004,370.24317311,481.76474931999996,572.22035499,643.3775197250001,727.93304297,804.295398045,894.02521786,955.012065455,1016.5299363949999,1078.233643825,1120.757163745,1210.9370614900001,1243.44216162,1302.048456455,1360.4465816250001,1398.332501675,1457.769983055,1503.479916825,1554.709306055,1604.22157054,1648.134807765,1691.751333905,1727.1704814450002,1784.968172885,1818.161456045,1857.129221935,1901.64014596,1947.792796375,1986.03351809,2014.479360925,2049.003493195,2098.68118245,2124.77226875,2160.2720161350003,2206.353950005,2244.39353449,2268.05642537,2306.44350323,2342.0082241650002,2373.0034087599997,2407.00116007,2434.98693327,2479.0853820350003,2508.6439595750003,2538.6285511849997,2575.18110103,2612.912280775,2646.9566355899997,2675.305492555,2711.73130838,2742.378334435,2778.6293093,2810.034429855,2849.4869085249998,2887.09415522
2,267.54874018,378.64692902,487.68411136,585.6352937199999,651.92044572,733.88424198,813.01108602,899.1680925000001,958.7422415999999,1019.38105714,1083.01257596,1127.73220638,1214.1151528599999,1254.08366764,1310.17443472,1369.2409959,1411.82346106,1466.16423298,1513.05892876,1568.8051525600001,1608.02353918,1654.64862036,1698.45435208,1732.2407044200002,1789.87086546,1821.2143729200002,1864.92218944,1908.5722293000001,1955.1517667,1991.0078702,2023.53877566,2053.0535533400002,2105.46566412,2128.7034248200002,2168.16431246,2211.9131638,2247.38887532,2273.68041764,2312.25928772,2353.36637104,2376.56490378,2412.79476086,2441.9784877800003,2482.42651874,2511.24279782,2544.31004902,2580.32416302,2614.53698442,2649.3132897200003,2678.38112304,2712.58178414,2747.05762826,2781.43736256,2812.7521060999998,2852.0105352799997,2893.7081140200003
2.5,272.31763862500003,384.087277575,493.716861775,595.6287219249999,662.16418795,743.506485875,820.758457925,902.5289483,970.7533289500001,1029.6369528750001,1091.01658575,1144.614229025,1218.888998125,1261.553745275,1312.7480848,1377.3030311,1419.8157308749999,1473.1128927999998,1516.396500175,1572.53008275,1613.2490681,1662.4406468500001,1706.121261825,1738.0779599250002,1796.5427803500002,1825.8575396499998,1869.2823366750001,1912.025443725,1957.75883965,1997.320030875,2025.364157375,2057.791435575,2107.684476775,2136.2679542749997,2175.4564178,2215.9808650500004,2251.5347389,2278.316700675,2314.9549934750003,2354.3208798250002,2381.866348075,2415.9005537000003,2444.7537453249997,2484.0615862749996,2517.4647081499998,2545.3883549,2583.61511265,2617.8313937000003,2651.772265525,2682.5526328,2715.65849325,2749.25553325,2784.897679875,2816.2801702,2853.3000139500004,2895.8092311500004
5,285.5073845,403.2353335,511.16831935000005,612.4947204499999,683.48476685,767.0663801000001,849.04311235,929.49139035,996.11878655,1048.9612862000001,1120.2365594999999,1169.0400685500001,1240.2442278,1286.2143212,1344.76426435,1403.91036965,1450.4106591,1500.0656053999999,1540.30349845,1587.75861695,1631.1641860999998,1683.1441826,1724.6783088000002,1758.85941765,1811.42230455,1845.7433760000001,1886.6991472500001,1934.6816315,1972.9650112,2006.7000335500002,2043.4632588,2080.50470505,2119.49536205,2154.07470685,2190.7278429499997,2233.8157855,2266.44472465,2293.1816158,2331.5941947,2366.20018645,2399.32887955,2427.96698935,2461.1191227,2499.2386153,2533.61159095,2561.78166695,2594.5162213500003,2628.4606541,2660.438737,2692.7649397500004,2725.68772205,2758.1429544,2791.9021176,2823.4178894,2863.92736115,2904.1125061000002
10,313.4442804,423.0212361,533.8838982,629.7487859,703.8154635,800.1404431999999,876.0164803,954.5054063,1016.0780608,1078.0164287,1136.5360383,1197.3247466,1258.1043281,1311.5150198,1370.4340744,1423.2594003,1476.1150337,1524.8543421,1564.9256260999998,1614.1803028,1654.4686852,1705.5740590999999,1749.3869149,1784.8229388,1829.8204533,1871.1927934,1910.3669444000002,1951.8703753999998,1991.5880396999999,2026.5561627,2068.054726,2096.7692153,2138.1457154000004,2171.7994972,2208.0495055,2249.224879,2280.9838207000003,2313.8315559,2347.2059487,2381.0998027,2415.6847488000003,2443.7439990999997,2477.1657074,2512.4020975000003,2547.225426,2575.3872731,2607.710519,2643.2443118,2674.1706095,2705.0148552,2736.7350046,2770.9703213,2803.0279989,2835.5059102,2871.9196525,2907.9477435999997
25,343.55417375,460.968774,570.8088224999999,671.36383125,753.8540485,841.06633225,918.12529925,993.89805525,1058.77282075,1122.91173125,1182.48716925,1243.9551835,1308.20380275,1359.20700425,1412.72627675,1463.65370475,1514.9812550000001,1564.0198662500002,1608.10096475,1652.66062525,1697.00266175,1739.275583,1785.7093747499998,1824.7589265000001,1865.97367125,1907.3997235000002,1945.74835275,1985.2444125000002,2022.5988244999999,2061.41001,2100.7996795,2129.711679,2170.06736475,2200.8497512500003,2237.84562075,2276.5377465,2307.8242280000004,2341.7267765,2372.97960275,2407.10522675,2440.8646102499997,2473.7546995000002,2502.7632999999996,2537.1810225,2568.64140725,2600.02721975,2630.95380725,2661.446503,2693.4456955,2725.067368,2757.43122375,2787.337985,2819.83557775,2849.0309052499997,2880.42670225,2912.35249
75,421.28534824999997,550.710842,664.315521,761.5362722499999,857.59270675,942.0326455,1016.012851,1091.47837775,1158.3619425,1215.33968,1287.0320282500002,1336.9294557500002,1398.1837805,1448.6439705,1503.149383,1553.98611525,1604.67857325,1650.1886259999999,1696.738424,1735.1862355,1781.94721875,1825.4669829999998,1862.0567765,1903.2306127499999,1943.8644775,1977.887741,2018.5523235,2059.6602075,2094.4686325000002,2131.1605902499996,2167.569744,2197.236482,2233.01160325,2266.39458625,2298.59248425,2334.0765235,2368.0228724999997,2399.80532125,2427.1470717499997,2463.3744297499998,2494.4520635,2527.1326605,2555.7931935,2584.32177575,2615.1862565,2645.960642,2673.81282225,2703.3849505,2731.5851979999998,2761.097045,2788.7282975,2815.6308442500003,2842.21434,2869.69142375,2894.07983525,2918.840955
90,450.2255579,585.4495212,704.4412119,799.6580352,898.8339489,985.0220552,1062.9192753,1131.585497,1204.3246432,1264.0975921,1326.9399642,1379.2383709,1435.9801955,1482.5201690000001,1539.2448224,1592.1579491,1638.5735399,1686.1511146,1732.4691385,1768.5440475,1810.1902115,1860.2671083,1892.8919499,1937.5906264999999,1974.2145953000002,2009.8074523,2046.8425783999999,2088.4969198,2123.4079515,2154.3245834,2192.2094318,2225.303337,2263.0296976,2294.1527449,2325.1669997,2360.2485806,2390.9061546,2421.2113953,2451.7577698,2485.1278896,2518.3434018,2545.1577086,2576.6364647,2604.1508323,2635.0554988,2662.8715448999997,2691.9367637,2722.0274197000003,2745.6301808,2773.1862624,2799.9013182,2825.1106151,2851.7447158,2875.3685861,2899.1192617,2921.1840852
97.5,486.36403915,627.5492313000001,757.6092118,844.4719508249999,941.9113752000001,1026.981481275,1113.9136806499998,1170.7389825500002,1246.2842824000002,1307.23218,1373.7283189,1423.8771590000001,1482.432480125,1527.17532285,1575.449345,1631.3534494,1675.445020825,1714.1358660249998,1772.7529081500002,1808.00827695,1844.5412863,1890.84460425,1923.3869269,1969.1142947,2011.676580925,2040.089078675,2078.893149825,2117.5985660499996,2159.6411826999997,2181.629272,2219.134236375,2254.018663725,2292.014394375,2321.121386875,2350.688518375,2385.041682275,2415.68974815,2444.058264125,2476.34754495,2509.434619575,2535.53384995,2564.524139875,2595.01039455,2623.973180075,2652.1400238250003,2679.81609225,2707.8129556999997,2735.9277399,2759.658057825,2787.42788535,2809.70252365,2836.3900259750003,2860.0079845249998,2881.95940805,2903.1570524,2923.385321575
98,491.95314573999997,631.25426876,764.2085414,854.83554746,944.53503382,1033.79878466,1120.18752264,1176.0626912399998,1250.67594014,1319.4702300200001,1379.04813718,1431.85537774,1486.8481930599999,1531.4215058599998,1584.06516632,1635.44777372,1679.67535222,1717.6276091,1778.18471998,1809.6650459,1852.1830836,1896.6603748999999,1929.77358074,1973.156581,2017.3521021800002,2045.7947465999998,2081.63277776,2120.2162033199997,2165.9213337,2183.6117497200003,2220.6555045200002,2256.7253733,2294.5182053400003,2324.67770316,2352.7062042000002,2389.16541208,2418.6707709,2446.5617726600003,2480.6360787,2512.2583265999997,2539.3917306400003,2566.3025368000003,2597.41455292,2625.47239512,2654.23089078,2682.04130536,2708.9838871399998,2738.1402826,2761.75878728,2789.1275865000002,2810.92870442,2837.29752552,2861.29843474,2882.2317620800004,2903.71677444,2923.59086558
98.5,504.120973995,638.17963142,768.387294085,860.5680182,950.764147285,1041.5709641600001,1124.71412228,1185.8618633899998,1253.542276595,1324.52334478,1387.00621424,1435.8697987649998,1500.087478405,1540.790138235,1598.79113628,1638.40071346,1684.54864886,1721.86017587,1779.9558846799998,1814.89672539,1859.3839128599998,1900.5727382950001,1935.40822632,1977.25241961,2021.0965218850001,2050.019710365,2086.38990892,2125.0064625950004,2171.75674716,2191.26881715,2225.1132408400003,2261.832183775,2299.64196706,2326.3825191700003,2358.85397156,2391.11150741,2423.40498378,2451.622885195,2484.974897005,2518.78585302,2542.337131155,2569.976827035,2600.7761483900003,2629.219551225,2655.7435346549996,2684.3545969350002,2710.84442133,2739.1490467950002,2763.635856365,2790.5405399799997,2812.512238815,2837.99727166,2862.9031633150003,2883.88846881,2905.190801185,2923.87853375
99,508.69696196,658.88090382,777.588828,874.3274487,960.13611684,1047.5283106699999,1135.6756447399998,1191.31620053,1266.07858273,1331.63406998,1390.63477883,1444.2381642,1504.76485313,1553.76159541,1600.69647062,1641.0454129099999,1698.06415536,1728.02334866,1786.9677083699999,1824.19282346,1870.44821506,1907.62569058,1943.45359296,1980.4486616899999,2022.9773764899999,2052.8766934200003,2089.83744586,2126.7012694900004,2179.80396782,2201.9920323,2233.87408805,2268.2653148900004,2306.89657369,2329.00521876,2364.2020837600003,2396.1904823600003,2434.88944064,2455.5993885400003,2488.32728046,2523.64761046,2547.23922299,2574.6392064,2603.4374324,2634.27578894,2660.88609038,2686.95243683,2714.7887387200003,2743.4179658,2765.8661253299997,2791.7913197300004,2814.5753584,2840.32602163,2864.47207082,2885.91881367,2907.4606463200003,2924.32891642
