,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100
0.5,477.52461768567997,615.2567308259174,752.4809542448065,853.8143000258696,976.2866841815769,1088.7532573494661,1157.924392722173,1214.6479235266538,1316.5256373513998,1377.1380326524818,1466.2309964783392,1539.321653230611,1615.2555833769115,1681.5186256388786,1764.913959522955,1837.269812277558,1906.0947086233245,1981.22598800037,2111.12960969415
1,487.933883901158,631.7951944457529,768.89096058009,871.269883870862,996.162625669534,1098.1662710095632,1176.136904886432,1223.731481922722,1337.712786335595,1398.904844744228,1484.589357944004,1554.574250197001,1635.105177457353,1721.15072930469,1785.219766362384,1856.137630839116,1935.720828811204,2008.98827727578,2115.5786307628
1.5,495.669353704717,647.1022580290111,777.074603647073,884.5054243817925,998.904042836201,1106.1493831183761,1181.905819514895,1248.7996964431325,1352.1712148225506,1413.2816779438522,1493.8353154442405,1574.8770036833544,1649.009542983299,1733.4410020471905,1799.229357136499,1871.045200484672,1947.962297008237,2027.5263503741878,2116.70416427133
2,500.93631911521,656.833313147154,790.7965936569519,888.709357399718,1006.776581117088,1110.585689101516,1186.0072073681301,1253.065718758396,1362.070377906702,1426.574017865292,1503.57568416432,1584.103528530468,1659.008170971218,1739.084000673472,1812.603423705638,1878.20647870632,1957.0626988985039,2040.752665705432,2181.645493640312
2.5,507.74327158121,663.6588205462699,796.05644494388,902.7876244126476,1012.1234572632101,1117.4942792323525,1195.8849928769625,1261.298501972005,1365.6265339223924,1435.3062376402975,1511.88568976794,1591.8431349203624,1663.2149725584,1745.4675322846201,1816.57564626709,1883.4163182843827,1966.5432169409873,2055.216825019875,2200.495783719
5,528.664214181345,684.348882507875,816.3863577260199,931.56134103465,1032.74054767914,1138.839918329695,1223.78631282172,1289.524710414765,1385.39827610636,1471.397285733735,1534.423262424425,1620.796663796795,1692.435732247905,1781.1168231419201,1837.46998718054,1916.79323100112,1998.95972268548,2078.4845201303,2211.5082295079997
10,551.0349987652301,703.6058858464801,838.97047145361,956.8812110663799,1061.37095859443,1162.23558508834,1253.84476272039,1325.29994100102,1413.26838325951,1504.0505035307601,1570.8604187843998,1653.11054487373,1725.63201554483,1808.09958377563,1877.7687679261298,1964.2714960263,2029.77933329226,2132.35311739276,2226.3053981374
25,588.06056507235,744.822962730275,882.2083885536499,1003.4213936399001,1104.970067893525,1208.4990158559501,1305.780783311625,1384.227458370725,1476.4003550018251,1561.3248118751,1635.43152994525,1715.860629358675,1788.715184264175,1872.4027447111998,1946.7413066577499,2031.7152581193,2101.3589935179753,2175.6703819650998,2258.6087529253
75,674.5366755913,850.433882666875,1001.185876807175,1122.939010271025,1247.0886137928,1350.176322636275,1458.9626619956248,1537.311162298875,1623.53065300645,1703.29101257645,1776.83458236485,1853.59682306495,1929.3402743995998,1996.420535844825,2060.69518711445,2120.96711205825,2181.5333984293,2232.6462484561252,2273.7617867345502
90,722.99869371977,912.04478261235,1069.29359997054,1189.1862625227302,1304.82030933102,1420.615857766,1523.9692483557299,1599.2753748397301,1679.48342292098,1759.57874253764,1832.29172812719,1900.92809916983,1973.02020655868,2030.66077152143,2096.28981812352,2146.77220412135,2200.6623902167203,2242.66291116798,2277.77664626368
97.5,779.6829629551299,965.25657188047,1140.9269430335025,1254.2225607241876,1364.127914789615,1483.317480425185,1580.2558995160525,1654.280355958875,1727.0920946831075,1809.07063985988,1881.1231501421025,1942.8842556504599,2009.1276947157949,2067.38200745445,2121.230611320357,2169.9593396992,2212.62130930568,2252.7877158045476,2280.5724328228653
98,783.733774773542,977.60203866206,1145.34436939705,1261.0354387853479,1368.07174282567,1488.651848198866,1584.991920215246,1663.20919694498,1733.7096973829919,1819.467077565954,1887.28802529952,1949.770838623784,2012.151907965892,2071.98773483565,2123.910435938772,2171.7811708182917,2216.284932490798,2253.8631776467582,2280.74745023637
98.5,789.748875371637,981.2462534617529,1149.7076358997115,1270.5625216073881,1379.6603758155281,1494.5026201584624,1593.696114594818,1674.3039319517156,1744.4808825420791,1827.513813291395,1890.477595848127,1951.320155110117,2017.559771111946,2074.0639285261523,2126.447038150732,2174.367296170785,2218.543875806759,2254.2669590434944,2281.049490076055
99,820.424386327981,1004.8340014770471,1160.872758365242,1278.5267187527309,1390.099361490072,1504.691378706453,1599.71343294223,1698.5088305012741,1755.299629578829,1836.624148474503,1896.9805637229279,1960.476280898007,2028.630869991252,2078.092533143689,2130.884291932744,2175.9978264991173,2222.278321228922,2256.9923124780253,2282.5860143960654
99.5,829.9483691156995,1022.2089828771785,1202.2393124535295,1298.118561515956,1410.754887269871,1516.8190090853484,1607.821748521309,1713.8570645400794,1776.7898452045554,1852.963483655247,1908.5587430428782,1980.2096971970009,2039.6874149723524,2085.446099476431,2141.545938665464,2182.999254456405,2225.5708846583425,2259.2718750407494,2283.028053602298
Median,627.5474997627,797.6383647074,937.60717856815,1058.3110659148,1168.08044643715,1271.41814105255,1379.06925777175,1461.80869844355,1552.9269352631,1630.7193871416,1707.05764257905,1794.40054623635,1869.3849583687502,1945.9331109485502,2015.10376053885,2082.3617877733,2147.2112364125,2212.3361213342996,2268.5952225288
Mean,632.794271491681,802.7603376019856,945.4296521993574,1065.798102012887,1176.6448931059354,1282.4454206670937,1382.9968512170185,1460.790429843623,1549.5839904823808,1629.6566395756097,1704.0618541026001,1783.5015592356604,1857.9206774985605,1930.7576650798856,1999.3705155812866,2067.83206572967,2131.558062489382,2196.096199820852,2259.3356076013956
