,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100
Low,507.74327158121,663.6588205462699,796.05644494388,902.7876244126476,1012.1234572632101,1117.4942792323525,1195.8849928769625,1261.298501972005,1365.6265339223924,1435.3062376402975,1511.88568976794,1591.8431349203624,1663.2149725584,1745.4675322846201,1816.57564626709,1883.4163182843827,1966.5432169409873,2055.216825019875,2200.495783719
High,779.6829629551299,965.25657188047,1140.9269430335025,1254.2225607241876,1364.127914789615,1483.317480425185,1580.2558995160525,1654.280355958875,1727.0920946831075,1809.07063985988,1881.1231501421025,1942.8842556504599,2009.1276947157949,2067.38200745445,2121.230611320357,2169.9593396992,2212.62130930568,2252.7877158045476,2280.5724328228653
Mean,632.794271491681,802.7603376019856,945.4296521993574,1065.798102012887,1176.6448931059354,1282.4454206670937,1382.9968512170185,1460.790429843623,1549.5839904823808,1629.6566395756097,1704.0618541026001,1783.5015592356604,1857.9206774985605,1930.7576650798856,1999.3705155812866,2067.83206572967,2131.558062489382,2196.096199820852,2259.3356076013956
