,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100
Low,44.542093749144506,36.62865277292712,34.77459310629523,31.629474217061475,28.853860802389143,27.345530346140094,25.658253154449753,25.29489725773853,24.79907295534255,24.20084320772866,23.136363300887396,22.841070841323187,22.7172619650695,22.707835654121432,22.253606993508217,22.195722717898384,22.443790188679532,22.545734815191608,23.34798510606745
High,120.947118825263,92.52829181738223,74.81186053772394,65.98474641036681,58.478083459770815,52.739489895498984,48.60151089363222,44.27717303729772,42.11866350666321,39.80430931715722,37.5120024477345,35.49417736130688,34.0549224277523,32.485203909037466,31.12425842417835,30.004720870387114,28.766538038777917,27.366966420402157,26.01803237560301
Mean,78.5456157279722,61.96146135992689,53.485544822449185,47.47241304414801,42.731856515675176,39.22356462555689,37.08119870693233,34.5149765366888,33.385971082952345,31.744806746030196,30.68428598628286,29.617885855885632,28.803106020792036,28.23268235520352,27.3551743539716,26.840736761753643,26.255876657039217,25.63699078622102,25.105069948051934
