,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100
Low,128.24202192656892,133.20552334213718,135.34818699571363,137.0036192717484,138.30132147686916,138.7998641021559,139.56490273289043,140.2831647823936,140.7239055527069,140.8145570617182,141.25151273698262,141.53604768086916,141.91931863906788,142.0104338028777,142.48243488929788,142.37299468884044,142.74659533280393,142.90707474578363,146.186407669157
High,183.29822235917175,170.55585573208887,164.3941814465705,160.1529383437003,157.73419282877617,156.08593318158796,154.5163121447773,153.2589043268755,152.31223346932862,151.29031194041355,150.8776311149729,150.12650264095583,149.63052337006474,149.10094254196127,148.6393993396535,148.30879402170325,147.87608945208333,147.47543073637678,146.980884395116
Mean,147.2181562988157,146.33943945767277,146.86460136496356,146.3251374357542,146.38487465182186,146.6860664967071,146.43487976097268,146.72789602191423,146.84594202263176,146.3797794833422,146.58557967487178,146.58714503843913,146.68872042211513,146.6101994917392,146.65536237551564,146.6891084519889,146.59130887642905,146.60594153304234,146.61615398716023
