,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220
0.5,235.05325168,344.44291549499997,430.13261967,535.19467559,624.738471375,683.8602903599999,742.872195285,817.438494865,901.1085959049999,936.7894898799999,1023.7092353649999,1068.31969989,1124.3896987599999,1190.57499541,1225.73411581,1275.406058325,1314.7597105099999,1391.97109263,1417.09316813,1460.809350585,1516.288254115,1548.427028115,1595.77448674,1634.40606522,1661.79534943,1703.1121771100002,1758.66038086,1790.514881845,1821.92130767,1861.81811425,1892.661051125,1952.301659625,1971.9650792,2010.35743506,2043.3046700749999,2077.7775069150002,2120.4122187350004,2147.83160452,2176.2941060099997,2224.98396603,2259.900016625,2294.70205118,2387.095184
1,253.06363247000002,367.43728792999997,448.43410184,548.4974572699999,635.1583936,710.50418329,774.28814848,845.28213965,910.07685215,962.008214,1036.4061567200001,1081.63591853,1135.6875472200002,1206.35110057,1249.76455327,1288.71109611,1323.0070537000001,1395.37268559,1433.56023676,1474.60569121,1532.2684583,1557.2880186999998,1615.000477,1642.64903089,1672.90844764,1717.41848016,1761.56608782,1799.6677268600001,1828.47414298,1880.2544590100001,1903.49846613,1957.3968358500001,1984.10836423,2014.92635851,2050.56577735,2082.48184531,2121.89567983,2156.65889393,2190.9612324,2229.85891163,2268.1122090599997,2303.9630392,2387.095184
1.5,268.08734449,376.06651358,464.58355692,551.4084861,639.10584752,717.192656855,786.85846679,857.996583595,917.0808140600001,968.1860097599999,1044.7784424949998,1095.37786165,1146.68686666,1211.984135675,1261.7692945649999,1302.39208308,1340.02914711,1400.2398849,1437.584555495,1484.28782015,1540.39715744,1573.73315316,1622.261659235,1646.324993055,1682.6388855750001,1725.040209315,1769.15384481,1806.2041654099999,1833.4904073999999,1885.05028454,1911.8851387949999,1959.9621212450002,1988.91232784,2019.219057565,2057.594652225,2087.429672475,2127.787964505,2161.817007675,2195.279683445,2238.36084138,2271.18000701,2306.0905908850004,2387.095184
2,272.44654814,383.03093388,471.8215785,558.4536379799999,645.85494784,733.17432974,797.6328676,864.19721238,924.4460228199999,977.41810948,1046.55265356,1100.87397912,1152.57898076,1215.4584172,1263.9709063,1315.28462918,1344.6182430600002,1408.91302068,1444.27953772,1489.11537612,1543.15796062,1579.64671656,1625.41534922,1653.0200377600002,1688.53911738,1731.2328396599999,1777.4634131599998,1811.58092262,1841.02745734,1889.4884957000002,1919.8809688200001,1961.9970747999998,1993.16615726,2022.8539015400002,2062.98733114,2093.21344174,2132.64889612,2166.75103322,2202.6114121200003,2242.0087074,2276.0716827200004,2309.92935144,2387.095184
2.5,276.2335917,392.3151869,484.14229255,567.3194325,655.367028375,736.096932175,800.100423225,873.214561275,930.7658761,987.114175325,1053.0532138,1103.61504775,1161.108013825,1218.590120375,1267.726245225,1317.5639168999999,1352.80001185,1414.307066325,1448.2274896,1493.088230375,1548.59499535,1582.072551425,1628.291646125,1655.50082165,1696.953754475,1739.0059096749999,1779.9307056500002,1817.2364374,1848.772174025,1893.194746875,1923.58176925,1964.56917495,1999.01373195,2027.8743897749998,2067.01360115,2097.22047815,2135.9288225,2169.4936384499997,2205.586612275,2243.5706481,2278.46888755,2311.44398615,2387.095184
5,290.60151855,401.4315233,501.39743715,586.27400165,674.3298513000001,751.52184385,822.9695413,895.15042155,955.0548875,1014.7762543,1076.86000975,1129.2940585000001,1184.81762045,1235.9547991,1282.4027261,1333.5467605000001,1370.8746055,1432.08853335,1469.8729649000002,1512.64874905,1562.8375067,1601.1587335000002,1643.90797415,1672.8531296,1715.5252268499999,1759.884331,1798.5306060999999,1835.41884715,1866.45813595,1906.37133105,1943.0814969,1978.4226345,2013.27970545,2041.58231625,2076.3928612,2109.16841455,2149.77423885,2177.02889015,2214.73135655,2252.97123925,2289.80408065,2321.91404045,2387.095184
10,309.1496733,423.108579,521.9509231,606.8697385,700.0555115,775.6693806,850.6020985,914.9577124,975.4673874,1037.5678458,1102.5847632,1152.8256562,1206.1922864,1257.9752989,1304.5581475,1352.3541581999998,1397.7128203,1450.1757872,1488.5383966,1532.3183277,1576.9804606,1618.7599455,1657.905831,1692.0580678,1731.7352041000001,1773.3619812,1812.2661321,1846.1858621,1882.9587977,1920.3460132999999,1961.7721887,1990.8819228,2028.1475199,2057.7809975,2092.6676512000004,2121.9429331,2162.4742017,2193.1946699,2227.0133397000004,2262.6841605,2299.1151302999997,2332.999473,2387.095184
25,340.593388,456.3451275,560.16970225,651.632744,739.209762,812.91323,888.27619325,951.8114989999999,1014.77495575,1075.29210175,1137.721681,1189.3329090000002,1244.5069290000001,1293.5919175,1340.30127075,1386.7792882499998,1434.8301809999998,1480.6247095,1523.6670609999999,1562.937538,1607.3315635,1645.2974637500001,1688.2111025,1723.729446,1760.98789225,1797.3069930000001,1838.54737425,1871.9175622500002,1906.2815687500001,1944.377647,1981.90969475,2015.4587067500001,2052.940778,2082.34958625,2112.6983325,2148.29221475,2182.6508555,2215.4917285,2246.005619,2281.6206174999998,2315.71969425,2349.46411875,2387.095184
75,413.8295045,534.58205325,641.8332869999999,737.79743075,824.88581525,895.29652675,968.943038,1041.242627,1097.2068715,1160.72842375,1215.47607625,1269.02071875,1319.11807275,1365.6144490000001,1411.08535825,1457.9040895,1500.78621525,1545.12839475,1589.97754925,1630.3317205,1673.69070325,1708.0503595,1748.02059025,1783.4682937500002,1823.50558075,1857.29320575,1894.56474925,1930.99679725,1965.9027545,1999.28505725,2036.48700675,2066.82826375,2098.90353975,2129.30439675,2162.059813,2198.60148975,2227.53188775,2260.66136525,2289.93407175,2321.1791489999996,2352.2681635,2383.091874,2387.095184
90,440.8626129,574.2560215,676.0505022,772.7709779,858.2201089,933.7207943,1007.9190237,1076.7019334000001,1129.8107625,1191.9322038,1246.1897000000001,1295.7012031,1350.5988445,1398.7219821,1443.2772259,1486.6459991000002,1532.3047603999999,1573.5128891,1617.6492193000001,1656.8313558,1698.2342327000001,1733.935553,1773.8531969,1807.7338263000001,1846.5142967,1885.8350427999999,1916.3402287,1953.4785835999999,1986.7550508000002,2027.1275437,2055.8594282999998,2088.6807643,2122.3899974,2151.1022035,2181.8206432,2216.5307045000004,2245.005878,2277.5146597000003,2307.4364676,2337.1695587,2367.3862975,2396.0219722,2387.095184
