,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220
Low,30.1284106675,26.641340185000033,25.275876269999998,23.739206549000002,23.47225187916667,22.378745197142845,21.184742229375,19.870829898333323,19.1649272355,18.518564780909053,17.855494373750002,17.10414330346156,16.781906970357113,16.324930310333333,15.820946008125,15.497369610588219,15.081797881388933,14.876201719736805,14.628832517749998,14.155395475952417,14.029465221136382,13.7222840328261,13.5555475747917,13.557418304,13.265292742884577,13.214291272222248,13.101737441607142,12.822599648793123,12.7776899215,12.62617316274196,12.60678649828125,12.444825668636403,12.42314409852939,12.317074437000027,12.246599229861069,12.162507956081066,12.103500576710495,12.106905161153863,11.991357376625,12.046922917804839,11.963414576547653,11.940764065697653,12.2395875818182
High,80.060372645,65.67891976333333,53.14416960249999,48.003762952,41.9187407816667,37.99758818571431,34.8464234825,32.46379103388892,30.227418869999997,27.874676971363655,26.849824756249966,25.446219995384624,24.1414404621429,23.195522287666698,22.1825880084375,21.4882924402941,20.369292791388855,19.66727488447365,19.248798522,18.627028378333325,18.139631673181825,17.614126085000013,17.385329200624998,16.9832027088,16.546027996730768,16.341304636296332,16.026278374285674,15.665321581034522,15.369447301999967,15.091674099999992,14.93327327734375,14.745687199393931,14.486374210735248,14.276612908857185,14.092845042916677,13.92457354581084,13.807098538552605,13.596551515384629,13.476903271,13.306327628414666,13.1952333985714,13.016937561627858,12.2395875818182
Mean,54.7327524534,45.577439762266664,39.6726551323,35.68596413824,32.47445798696667,29.879544060485713,27.888618637400004,26.009327025555553,24.60945578386,23.31670341212727,22.33670051758333,21.218981058584614,20.34851957914286,19.6975461768,18.9505391232625,18.426953633835293,17.714497707222222,17.255808787473686,16.89375876371,16.49509377378095,16.090582283618183,15.719370979721738,15.438905993016666,15.233336516711999,14.946314670923076,14.694597369851854,14.487874272142857,14.239828703048275,14.07018374672,13.862640459393548,13.76754182980625,13.592685432890908,13.457880184688236,13.313566552222856,13.18940914563889,13.073955819027026,12.981769101910528,12.858250495487177,12.782009214835,12.683592560995121,12.608673095109525,12.522483683488371,12.2395875818182
