,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455
0.5,850.200921825,1190.236713365,1472.783816275,1745.32005672,2064.3756462772,2330.4991523505,2539.44899877,2832.350468065,3091.4196084678,3317.13256795,3499.4655420995,3781.4619821494853,3977.34729671,4255.8652385095,4437.802507957849,4651.8848206395005,4925.686648786365,5139.840403960115,5237.200198474135,5564.03780364435,5716.433945772415,5976.71506741615,6168.2897044009505,6340.16033249375,6506.005281459635,6766.16564483185,6874.944875302485,7074.3861974971005,7262.901837016385,7438.578197567351,7693.504236174999,7727.821211744535,7831.928209652635,8117.48454579595,8262.529626046986,8535.5944423618,8687.824378181014,8812.508137979516,9042.261608570916,9181.15831464035,9389.61267381425,9434.401458239516,9825.259084135265,9858.023297396936,10080.511718952815,10237.382002110315,10371.161175058716,10527.597066834016,10720.988249911115,10805.31983142655,11058.26969551085,11092.8646488217,11329.90087631395,11426.896162684565,11727.352880631166,11870.2176306615,11964.82561922165,12126.510107023301,12294.824973114799,12399.95913309635,12555.97239085225,12782.76821493295,12833.9613570723,13016.971546302,13096.938563953616,13355.354366939486,13451.69267382805,13593.883319732,13799.532166091149,13894.8017797096,14034.489397246949,14159.862733063264,14328.914133014801,14464.54966802265,14608.722901200601,14799.332309724301,14944.2164351747,15100.98349497035,15269.10313542135,15347.5650368108,15508.45529062935,15704.64636282265,15836.892744033335,16091.7967768293,16177.6704649645,16324.941502282,16469.049578437098,16612.829341922,16840.176722392,17111.009132507
1,892.03645675,1247.38543316,1520.49477213,1859.6218133387001,2088.17333631,2389.30950498,2598.94933652,2883.0391897986997,3116.12022656,3384.9970300266,3598.15249323673,3868.47920208467,4048.25438142687,4357.5035341869,4501.6916312089,4721.1759328723,4976.13669681,5238.186500500269,5327.05779771423,5617.1864000057,5828.3270299307005,6004.4696034178305,6217.26113478343,6385.8150576123,6592.27270759127,6872.606385828401,6949.78909938357,7153.6363458497,7347.7918246853005,7552.82522638997,7752.95072289807,7835.35155898987,7979.69779286717,8268.54415269517,8389.443571042,8562.1135547107,8771.07517922,8909.18067974947,9096.82946088747,9278.0665195836,9452.37185705663,9624.6552456251,9856.5582081434,9961.74753715233,10137.56270247027,10262.22196289513,10418.2217274746,10624.501766971369,10779.336991871,10897.11732763263,11084.61819410677,11258.89352310277,11410.29859478493,11456.037534885,11747.520786701529,11902.47083259147,11993.2740945756,12167.0600938979,12337.0281051057,12479.271943278,12660.400757019299,12854.675997227001,12889.2287653186,13072.65968917897,13203.1931560261,13430.5900600494,13512.954365506099,13675.5636477607,13839.036765328368,13945.9168602555,14102.16293486833,14218.803981756731,14364.87248770557,14523.0237973161,14673.2771354485,14868.4698768479,15013.931905446601,15127.7143007057,15299.1592145604,15406.8209377507,15571.811581247,15760.59071193013,15894.3260530807,16108.865761158,16211.4128978116,16376.5063055883,16528.2695381751,16681.122176668,16870.98815689013,17133.411745507
1.5,916.304761645,1261.720584115,1564.873937305,1901.98546701185,2116.7652013049997,2404.7522598461496,2673.5662627711504,2919.7138822565003,3161.754486585,3413.7537417165,3652.4855398383,3891.6378678334,4120.1093618985,4402.21238689,4547.2822286908,4755.083114869255,5063.82526923535,5260.009933543055,5366.27621193455,5650.110355177249,5851.247718195,6084.12910628,6277.6424190415,6407.87169702045,6619.16395481185,6886.98359964575,7018.47119287135,7204.178021169945,7381.0557565485005,7623.278718562406,7771.423419178605,7947.31758242035,8118.725933020045,8310.30814480765,8467.488330677701,8605.170218687355,8800.60833912385,8953.586788629551,9185.171044616394,9338.11020644535,9557.737655570705,9674.659696364955,9884.358420325096,10021.575947316205,10236.04506955865,10303.848571350449,10459.35666668895,10665.822641778901,10831.986359493205,10941.311408029394,11126.95455215575,11311.981311807896,11458.025680763649,11518.300315843055,11766.632143194454,11936.3119195128,12044.49459423405,12184.230618289545,12379.8204742472,12511.650241957006,12697.336759660395,12886.718014119095,12934.889228312251,13114.0871544402,13237.002819729105,13462.27411824015,13562.20494429405,13709.252617646545,13873.283897387804,13979.120309005344,14161.428977445401,14293.27591344915,14432.3607313595,14563.283284819649,14748.00865618095,14903.584639173601,15066.28212660785,15143.563794473599,15325.658889445305,15430.7495778926,15593.396611172,15780.362470375101,15954.62257473765,16121.2647505388,16231.418256664756,16413.814398123348,16541.2813090117,16716.821672857,16906.317112202,17136.354528072
2,934.05955578,1272.8338159,1589.30376426,1919.6004473932,2143.1596596112,2455.1731047712,2700.77705686,2949.71890304,3182.42304566,3434.4864426952004,3670.2908886092,3903.2713457526,4152.0476594186,4428.1574857974,4583.4001622084,4811.7947343854,5101.636152498,5289.805191039601,5405.3230766304,5677.234967428801,5885.792603078,6131.5122849876,6309.5967985446005,6481.2014933338005,6700.461607617401,6904.1493554844,7051.4206491228,7230.3099153985995,7463.2677806442,7636.006205968601,7792.39937138574,7988.39710225934,8143.72183791094,8351.819073721259,8506.086838379999,8630.742075658261,8874.9260606156,9002.444222214941,9218.4978515146,9401.66372518286,9588.112839163601,9739.97821785626,9907.54050344926,10059.80949824026,10255.9810504392,10371.313669049061,10480.886589797861,10688.75670696474,10867.72788682294,10985.1450275766,11173.15125748546,11368.25279910206,11479.99135871526,11559.23808413746,11785.509989317,11961.87089246506,12068.86926748146,12203.7479948066,12398.3421761056,12532.046487641941,12706.719741554602,12911.376065727,12982.483087140401,13145.576276012662,13290.91533324054,13483.76838382206,13600.70328381014,13740.3624083716,13894.708224879801,14031.539520294938,14192.3041269848,14323.44411099214,14467.84555080234,14593.360146406341,14772.0136930432,14921.337189058198,15077.114962395199,15184.675131211,15340.6818466238,15464.000510347,15628.93322196206,15795.5873530444,15980.0403424748,16128.238315479999,16272.9252954044,16440.617687644997,16587.847374826997,16738.072734487,16916.110203607,17137.532837407
2.5,950.55374555,1285.68680225725,1609.725760575,1928.8114336315,2167.4333946499996,2486.293564475,2719.4811159584997,2988.1392244559997,3236.468556500675,3476.211908025,3692.604894314,3918.13550833,4175.8782322547495,4450.15585200825,4609.161955358751,4871.880178245,5120.4203557,5318.0628117794995,5447.62318521,5722.428867321,5906.96364354,6179.913269798175,6326.8989811500005,6521.39171187725,6733.042713011575,6927.7302226755,7080.523944445825,7248.018698669925,7479.86835507975,7658.5091648270745,7856.112223989325,8013.333788415425,8192.757581242175,8367.512190565174,8534.237909358826,8674.0371053255,8907.554299063826,9083.582199366325,9237.59282128025,9435.23914091475,9610.61341651075,9769.017594889,9915.21600218025,10090.856372676175,10278.889028424675,10406.875890439249,10519.035851531824,10704.844438485174,10881.694030002576,11004.762433545175,11209.082248666926,11376.413423229,11516.520691444,11590.516337571575,11823.967109100999,11980.624500628175,12119.89217839525,12236.383826752075,12417.937476870577,12558.089429628999,12743.289193187251,12922.99916263,12999.479601981824,13172.00557546125,13351.055229031075,13501.645746386075,13616.24567419825,13760.033126485325,13927.04368517125,14072.599825445426,14204.319788073,14340.9468141435,14500.425581317824,14623.68887043175,14818.86380806875,14948.2249392425,15093.517699064825,15216.635015406924,15359.160806437001,15499.770880994749,15657.208045076,15818.102781796251,15990.730878661,16148.849136732,16283.586939518,16448.04920154775,16601.8928190045,16749.798772000002,16925.289761582,17146.059484606998
5,994.390944455,1331.4836244204998,1676.3374743499999,1983.01435525,2242.3439174685,2573.676280773,2787.85630425,3068.5141582765,3356.2802094999997,3569.38342321,3802.24798075,4020.3789520279997,4269.1420712,4541.8553951779995,4733.83097875,4990.31318033265,5222.447243478499,5406.03108171,5587.63361818835,5817.6138261305005,6038.187180790001,6253.2301366345,6409.60191010865,6641.422432685001,6867.16174502,7014.869845015851,7172.097173762,7363.4433500135,7575.76807427785,7767.69762826265,7953.953259917,8142.370306453,8308.23179458385,8474.63398023285,8633.8920435095,8757.73451296865,8994.16161623485,9189.150356802,9369.19727455635,9532.090688432001,9674.8637642345,9844.75346666215,10035.4723642615,10181.28500740615,10364.308634859,10530.1159967135,10624.293133053501,10787.844473248,10990.22555301535,11116.158446156,11332.751173361,11499.911830005,11617.58522301865,11706.4098603035,11931.887422062999,12092.871057962651,12202.69936552915,12341.86409533685,12527.198586288001,12669.307206657499,12828.5660608955,12993.1259322975,13111.10592659165,13260.711967268,13436.3318524295,13565.853301259001,13680.91538844515,13842.998804707999,13998.248427092001,14152.764838147,14305.892114629,14427.8795239645,14568.1849321835,14729.0150224575,14887.40747702215,15041.123290864,15170.9321471635,15290.348238907,15441.859597025,15581.3921234955,15722.865927607501,15881.284262758001,16039.712026007,16211.4752764805,16343.3192894065,16495.098301805003,16647.289468306997,16798.747283743498,16975.707575802,17163.397155507
10,1041.6831852999999,1385.8258421,1745.9088898,2042.6470946040001,2320.566431107,2653.051679269,2881.77815293,3155.4278985,3465.4386532000003,3677.793060404,3928.1776943937,4148.388558034,4429.124691052,4664.296811004,4850.2944534987,5104.401631683,5329.972504583,5527.092745106,5749.6936199496995,5951.985236881,6154.272227954701,6357.455330203001,6543.050406944,6754.502625887,6979.747906445,7134.666588308,7317.531668635,7493.67359288,7705.803344218,7883.917466458701,8079.6818799523,8262.7717430517,8442.359517841,8601.391120508,8755.348587813,8942.8036795273,9113.891838764,9308.6249186507,9467.0497927113,9652.157586476,9808.859445445,9957.753260596699,10134.841057122,10315.071313094,10474.3164200517,10649.0191509937,10767.3221113773,10919.8979773837,11127.402358796,11262.893358481,11433.814836721,11592.637280459001,11757.5751570087,11834.66272584,12050.052653820001,12216.019675982001,12345.103026506999,12459.631721061,12648.514906123299,12791.154560130299,12918.743277261001,13091.1432284933,13232.543484914,13354.533708855699,13541.061919834,13681.535040638999,13778.1441875613,13951.901104343,14089.755840783999,14270.026993664,14406.228961541301,14542.707602114999,14670.067448150001,14821.600643725,14980.381403065001,15114.480257197,15261.268202137,15396.623657501701,15527.995906207,15670.7867255153,15805.547242077,15959.0921863013,16116.4256394003,16273.185001750999,16397.08911843,16554.132707707002,16698.239170603003,16850.363594406997,17015.244764407,17187.082759507
25,1122.530638,1486.580527,1861.9455035,2173.4773296374997,2483.2287525575002,2806.77334137275,3044.3010773425,3333.7705613475,3615.77649979525,3859.60114244,4118.82400499525,4369.83640419525,4610.82161640425,4845.3931164142505,5064.6657039075,5279.1776326525,5509.08809875675,5746.20873835,5929.738525504999,6161.94696775525,6352.334150825,6591.22746660675,6762.70861325,6977.17171332,7173.8719267625,7344.308295055,7538.246909545,7696.149306835,7925.7261753975,8079.88720872925,8304.964651052751,8447.309501919499,8670.82459740775,8830.38429716,8991.87797097275,9162.942534835249,9336.13764064025,9535.79420609175,9660.3600348775,9833.36694685275,10034.01896447,10173.7853737095,10350.47623253275,10510.077102475,10691.1291226145,10838.672368152,10980.04678002525,11141.271398366749,11308.306728639502,11445.295545517001,11625.840354992,11779.3270408095,11955.874161975249,12076.595709465,12235.91103158175,12414.79954092775,12543.45256650675,12679.33418384775,12846.3420604925,12974.40115431025,13125.124177476751,13268.825063669501,13413.4794348145,13555.937752552749,13733.071422329249,13864.0892474095,13968.9648942245,14144.6452228195,14269.790779934501,14418.389065669251,14567.34443077425,14696.7054442025,14818.05507597525,14976.077939639501,15145.334879807,15261.63572407775,15398.16340572775,15530.956704254499,15660.231849372,15810.604735087,15933.496021006998,16094.99977758175,16231.548130272,16368.021517007,16491.119462007002,16639.758077391998,16775.5128956845,16919.609136757,17060.735862507,17211.625532507
75,1302.58579733175,1727.4314744199999,2124.012799525,2485.9712536399998,2812.20350797425,3131.45690875,3417.728872525,3713.43727559,3992.2420316075,4279.8397818875,4511.6188430525,4781.45559816025,5037.7631974295,5277.6071226799995,5513.5014589024995,5718.4732421,5960.83956262275,6193.21548736,6412.1291174074995,6615.4678933475,6803.531505365,7036.15003339,7211.00302256,7428.74273850175,7630.329743806749,7814.74071246275,8013.5806054425,8187.72924401775,8374.55059334275,8567.573465695,8754.385247970251,8925.88244556775,9105.36299700675,9277.0624991675,9466.11914959275,9621.23266117425,9787.5710292745,9981.47250601775,10149.182302312749,10277.9249348225,10473.909878135251,10644.957116457,10810.76110978,10964.847513981751,11127.719447276751,11269.204823939499,11423.02724777525,11586.060684925,11743.36314386425,11858.8849129745,12075.336116287499,12190.21430650775,12375.635197632,12532.19302907525,12678.6610075325,12801.39140183525,12976.2055164745,13092.40029072025,13230.4642398545,13411.79590539175,13513.4072444295,13665.61541423425,13815.172162512,13940.306268676999,14102.50175513425,14232.972822897,14358.4490995795,14510.220333882498,14630.751893417,14755.87396926775,14913.0707780095,15033.83668650525,15162.48573407425,15311.70439807025,15443.8515064445,15556.115940292,15695.185634719499,15819.9038397895,15940.788022029501,16068.439620757,16184.743079061998,16322.10500535025,16447.850922507,16567.764637507,16688.939990507002,16808.668510482,16922.194034022003,17035.315349757002,17143.440506257,17238.410274507
90,1395.9291843,1855.1417630560002,2265.401605687,2616.5184006,2965.301630693,3281.5966112690003,3581.605111807,3882.3008297230003,4165.941979595999,4449.8741260096995,4687.149082734,4936.6620425890005,5239.5734467,5461.718114431,5700.1522770257,5942.320611554001,6163.6533996832995,6403.394514462,6597.276795634701,6798.826857217,6981.564437796,7261.2757722837005,7417.274157354,7624.805214743001,7846.0124116140005,8014.7217704537,8212.776269194,8428.054197259,8573.652037729,8769.402717590301,8945.081620843,9139.897034664,9293.6308034013,9463.3378109457,9663.584254276,9857.319601965,9976.6385201123,10207.1996623933,10382.194020394,10494.557501666,10694.1096073637,10839.901891696,10995.3476865753,11131.753990661,11318.169535761,11488.718032936998,11617.589438448,11765.048606476,11947.4752081963,12081.302898392,12286.413974753,12401.687511433,12575.063795912,12709.042849132999,12862.573685534,12986.4625489023,13157.1808233913,13280.347963369999,13424.828907121999,13564.694584222,13688.459887367999,13823.584539497,13970.883362188,14100.68628945,14272.728366126,14396.374082064,14527.198042321,14671.8821922937,14792.746973174,14912.463725228701,15052.897606169701,15171.601402442,15304.884885033,15433.084495031299,15560.46347187,15691.258720867,15813.411508355,15938.412565292,16047.128903007,16177.442309809001,16290.6382344887,16413.941064307,16538.530855583,16643.14290142,16755.9022198383,16869.856101807,16976.2199505887,17074.949341807,17172.297464024,17241.972311507
