,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210
Low,272.7296402,382.429128375,484.04626097500005,576.8545166,659.5222099499999,739.39425965,812.539065175,872.476478025,950.9385966000001,1002.509284075,1058.566422375,1113.0994332750001,1171.92464365,1220.2747229000001,1268.8388743,1312.2302118,1358.2184551999999,1402.4098098749998,1446.5382702499999,1483.1471107749999,1530.91645975,1568.450576525,1607.27123545,1642.086117375,1682.356638125,1717.5322711,1756.795729425,1788.8676821249999,1824.5452321500002,1869.70078615,1904.6552428,1938.792381025,1974.2305771000001,2011.05126315,2040.5833228,2074.8013108,2114.178829175,2145.4865465499997,2183.259285575,2220.13296605,2265.5850218250002
High,486.91955925,617.34246475,725.310892425,810.700915975,902.866462375,971.6943230500001,1038.1104108749998,1097.980849325,1155.911477075,1208.687137125,1254.1538754,1308.008048475,1354.9883734500002,1404.5941083999999,1444.5011539500001,1486.238178975,1530.136784325,1572.49362935,1607.19357835,1644.374086175,1685.3780948,1721.8128666,1758.014960475,1794.0403027749999,1826.4915354749999,1865.594914775,1894.3800167250001,1928.1575441500001,1959.87902715,1989.329873625,2019.217277725,2054.9444464,2080.591428375,2110.1802671,2141.35241015,2167.9946382,2193.26107095,2220.5007644250004,2246.151130925,2270.1530833,2290.1477378749996
Mean,378.783286563,505.62322547400004,603.840743118,699.829085184,786.7791587930001,860.1752818990001,931.9260953899999,996.399152016,1054.1689949540003,1112.880053392,1164.80425485,1217.153620657,1269.515406234,1316.976996999,1362.255326622,1403.869565677,1448.24131382,1490.658758889,1533.6726331250002,1571.2533348209997,1610.817804141,1649.386516946,1686.9892334219999,1722.793095508,1759.989390556,1795.7116668989997,1831.194880413,1863.728592674,1897.523649571,1933.237603679,1965.4921580550001,1998.575589479,2032.125700546,2064.947389528,2094.654408636,2126.2922841189998,2157.827304617,2189.613398939,2219.867889074,2250.238214637,2280.586242858
