,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205
Low,26.995260445,30.1681801675,26.895227925,25.117457726250002,23.887096847,23.03014033666667,21.665793389285746,19.86939795,19.19341759388889,18.349684332,17.704633438181784,17.36313086000003,16.40696675307696,16.142342115357184,15.772176608666635,15.23628207,15.06944763647061,14.298834319166668,14.45394880947372,14.0967697545,13.758795079047605,13.614329109090871,13.573667603043441,13.214597331875032,13.0240002896,12.853260271346171,12.741328152962994,12.608160125535727,12.505229759655196,12.4351246895,12.374443842096731,12.2503638796875,12.24542274000002,12.142604280294153,12.018265406571471,11.987734731944464,11.884898985270244,11.8763457378947,11.808236133076903,11.8102433235,11.844207617926836
High,118.08236402499999,80.979023015,64.84371299500002,55.18247168875,47.860181123,42.0471486583333,37.546886211428536,33.567923834374994,31.714420469444455,29.271217336,27.362238898181836,25.930960131666634,24.334919636923114,23.25539479392857,22.066808230333365,21.225873558125,20.37180104470584,19.473174208055543,18.85142261789475,18.455141172250002,17.793929915476195,17.488055713863638,16.99902924434778,16.618324284999996,16.2476430402,15.903645620961553,15.546610643148172,15.233397025892842,14.882911029310362,14.6550372003333,14.520447648709693,14.16478297140625,13.976797862121236,13.756985833529434,13.499147675714326,13.344004375277756,13.193186978648619,12.984735273026288,12.76584317884614,12.548852696875,12.301568852926794
Mean,68.86208516800001,54.900981396000006,46.1667166946,39.932678338600006,35.815993681040005,32.14677904846667,29.42341130685714,26.899580987975,25.370068230599998,23.850092426179998,22.462900409127272,21.455778788066667,20.3283099792,19.69281177054286,18.902045573706665,18.2219798910375,17.594382862152944,17.00113014077778,16.601872118042106,16.24045834552,15.798628262447618,15.479831275418183,15.183679107060867,14.882016614549999,14.603529057111999,14.367492087530769,14.139010424814813,13.945826443135713,13.757529900765515,13.561541540206667,13.395756090432256,13.221901169743749,13.098320444460605,12.946968272194118,12.79912501401714,12.654460709527777,12.537121232108108,12.414564416494738,12.30557261688718,12.18740437403,12.072390386214632
